Q476,P1,Q402
Q476,P24,Q406
Q476,P19,Q403
Q476,P11,"Papież Bonifacy IX przyznaje Małgorzacie, wdowie po mieszczaninie wrocławskim
               Johannesie von Sitten, łaskę, by w obliczu śmierci wybrany przez nią spowiednik mógł
               jeden raz udzielić jej mocą władzy apostolskiej pełnego odpuszczenia grzechów, pod
               określonymi warunkami."
Q476,P8,"AAV, Reg. Lat., vol. 34, f. 185v",S20,Q388,S14,Q401,S16,185v
Q476,P12,+1394-04-23T00:00:00Z/11
Q476,P13,Q31
Q476,P17,"MVB 5, nr 759",P18,Q386
Q476,P22,Q10
Q442,P38,"Margarete, relicte quondam Iohannis de Sitten
            civis Wratislauiensis

"
Q476,P31,Q30
Q476,P30,14
Q442,P56,Q443,S51,Q476
Q443,P33,Q442,S51,Q476
Q476,P27,Q10
Q476,P27,Q442
Q476,P27,Q443
Q476,P27,Q30
